Description URL
"Bash oneliner collection"	https://github.com/onceupon/Bash-Oneliner 
"Community detection paper colection"	https://github.com/benedekrozemberczki/awesome-community-detection
"MIT challenge"	https://github.com/ossu/bioinformatics
